NTAName,avg,NTA2020,date
Harlem (South),6.986592935808405,MN1001,2024-12-28 19:27:22.166206
Hell's Kitchen,11.904565579648525,MN0402,2024-12-28 19:27:22.166206
Highbridge Park,7.649745238095238,MN1291,2024-12-28 19:27:22.166206
Highland Park-Cypress Hills Cemeteries (North),7.51310148148148,QN0574,2024-12-28 19:27:22.166206
Highland Park-Cypress Hills Cemeteries (South),10.475958333333331,BK0571,2024-12-28 19:27:22.166206
Hollis,2.381990980392157,QN1206,2024-12-28 19:27:22.166206
Howard Beach-Lindenwood,1.4803833333333332,QN1003,2024-12-28 19:27:22.166206
Inwood,4.158088888888889,MN1203,2024-12-28 19:27:22.166206
Jackson Heights,15.589489583333334,QN0301,2024-12-28 19:27:22.166206
Jamaica,4.271739961469681,QN1201,2024-12-28 19:27:22.166206
Jamaica Estates-Holliswood,3.59389021090535,QN0804,2024-12-28 19:27:22.166206
Jamaica Hills-Briarwood,2.4902305555555557,QN0805,2024-12-28 19:27:22.166206
John F. Kennedy International Airport,2.0727699074074075,QN8381,2024-12-28 19:27:22.166206
Kensington,6.575246694444445,BK1203,2024-12-28 19:27:22.166206
Kew Gardens,29.535397222222223,QN0901,2024-12-28 19:27:22.166206
Kew Gardens Hills,2.267450028409091,QN0801,2024-12-28 19:27:22.166206
LaGuardia Airport,6.647594907407407,QN8081,2024-12-28 19:27:22.166206
